neighborhood,dow,gender,genderCount
Harrison,1,Male,53
Harrison,1,Other,41
Harrison,2,Female,31
Harrison,2,Male,76
Harrison,2,Other,55
Harrison,3,Female,22
Harrison,3,Male,61
Harrison,3,Other,41
Harrison,4,Female,21
Harrison,4,Male,73
Harrison,4,Other,41
Harrison,5,Female,27
Harrison,5,Male,76
Harrison,5,Other,42
Harrison,6,Female,13
Harrison,6,Male,54
Harrison,6,Other,23
Hawthorne,0,Female,55
Hawthorne,0,Male,180
Hawthorne,0,Other,117
Hawthorne,1,Female,112
Hawthorne,1,Male,315
Hawthorne,1,Other,158
Hawthorne,2,Female,140
Hawthorne,2,Male,444
Hawthorne,2,Other,178
Hawthorne,3,Female,149
Hawthorne,3,Male,471
Hawthorne,3,Other,137
Hawthorne,4,Female,130
Hawthorne,4,Male,410
Hawthorne,4,Other,162
Hawthorne,5,Female,143
Hawthorne,5,Male,461
Hawthorne,5,Other,166
Hawthorne,6,Female,122
Hawthorne,6,Male,296
Hawthorne,6,Other,122
Hiawatha,0,Female,7
Hiawatha,0,Male,25
Hiawatha,0,Other,32
Hiawatha,1,Female,10
Hiawatha,1,Male,26
Hiawatha,1,Other,25
Hiawatha,2,Female,10
Hiawatha,2,Male,28
Hiawatha,2,Other,23
Hiawatha,3,Female,15
Hiawatha,3,Male,45
Hiawatha,3,Other,16
Hiawatha,4,Female,11
Hiawatha,4,Male,35
Hiawatha,4,Other,29
Hiawatha,5,Female,13
Hiawatha,5,Male,46
Hiawatha,5,Other,36
Hiawatha,6,Female,20
Hiawatha,6,Male,64
Hiawatha,6,Other,33
Holland,0,Female,73
Holland,0,Male,184
Holland,0,Other,51
Holland,1,Female,79
Holland,1,Male,211
Holland,1,Other,39
Holland,2,Female,93
Holland,2,Male,219
Holland,2,Other,42
Holland,3,Female,106
Holland,3,Male,226
Holland,3,Other,56
Holland,4,Female,73
Holland,4,Male,182
Holland,4,Other,45
Holland,5,Female,87
Holland,5,Male,267
Holland,5,Other,54
Holland,6,Female,87
Holland,6,Male,198
Holland,6,Other,51
Howe,0,Female,5
Howe,0,Male,32
Howe,0,Other,30
Howe,1,Female,4
Howe,1,Male,40
Howe,1,Other,41
Howe,2,Female,8
Howe,2,Male,29
Howe,2,Other,21
Howe,3,Female,9
Howe,3,Male,37
Howe,3,Other,29
Howe,4,Female,7
Howe,4,Male,32
Howe,4,Other,32
Howe,5,Female,9
Howe,5,Male,38
Howe,5,Other,24
Howe,6,Female,5
Howe,6,Male,39
Howe,6,Other,24
Humboldt Industrial Area,0,Other,1
Humboldt Industrial Area,1,Female,1
Humboldt Industrial Area,2,Other,1
Humboldt Industrial Area,3,Male,3
Humboldt Industrial Area,3,Other,2
Humboldt Industrial Area,4,Female,3
Humboldt Industrial Area,4,Male,2
Humboldt Industrial Area,5,Other,1
Humboldt Industrial Area,6,Other,1
Jordan,0,Female,48
Jordan,0,Male,139
Jordan,0,Other,94
Jordan,1,Female,91
Jordan,1,Male,312
Jordan,1,Other,144
Jordan,2,Female,116
Jordan,2,Male,444
Jordan,2,Other,147
Jordan,3,Female,129
Jordan,3,Male,456
Jordan,3,Other,185
Jordan,4,Female,125
Jordan,4,Male,415
Jordan,4,Other,154
Jordan,5,Female,132
Jordan,5,Male,326
Jordan,5,Other,156
Jordan,6,Female,85
Jordan,6,Male,215
Jordan,6,Other,134
Keewaydin,0,Female,2
Keewaydin,0,Male,13
Keewaydin,0,Other,9
Keewaydin,1,Female,3
Keewaydin,1,Male,15
Keewaydin,1,Other,15
Keewaydin,2,Female,2
Keewaydin,2,Male,12
Keewaydin,2,Other,14
Keewaydin,3,Female,4
Keewaydin,3,Male,9
Keewaydin,3,Other,13
Keewaydin,4,Female,4
Keewaydin,4,Male,25
Keewaydin,4,Other,14
Keewaydin,5,Female,2
Keewaydin,5,Male,18
Keewaydin,5,Other,22
Keewaydin,6,Female,3
Keewaydin,6,Male,13
Keewaydin,6,Other,6
Kenny,0,Female,2
Kenny,0,Male,13
Kenny,0,Other,9
Kenny,1,Female,9
Kenny,1,Male,17
Kenny,1,Other,8
Kenny,2,Female,6
Kenny,2,Male,12
Kenny,2,Other,12
Kenny,3,Female,7
Kenny,3,Male,9
Kenny,3,Other,10
Kenny,4,Female,7
Kenny,4,Male,17
Kenny,4,Other,12
Kenny,5,Female,5
Kenny,5,Male,12
Kenny,5,Other,12
Kenny,6,Female,5
Kenny,6,Male,14
Kenny,6,Other,16
Kenwood,0,Female,4
Kenwood,0,Male,5
Kenwood,0,Other,10
Kenwood,1,Female,20
Kenwood,1,Male,18
Kenwood,1,Other,7
Kenwood,2,Female,9
Kenwood,2,Male,9
Kenwood,2,Other,6
Kenwood,3,Female,24
Kenwood,3,Male,37
Kenwood,3,Other,10
Kenwood,4,Female,15
Kenwood,4,Male,16
Kenwood,4,Other,6
Kenwood,5,Female,15
Kenwood,5,Male,16
Kenwood,5,Other,5
Kenwood,6,Female,3
Kenwood,6,Male,4
Kenwood,6,Other,8
King Field,0,Female,33
King Field,0,Male,69
King Field,0,Other,54
King Field,1,Female,86
King Field,1,Male,134
King Field,1,Other,41
King Field,2,Female,111
King Field,2,Male,150
King Field,2,Other,37
King Field,3,Female,86
King Field,3,Male,149
King Field,3,Other,49
King Field,4,Female,84
King Field,4,Male,166
King Field,4,Other,52
King Field,5,Female,76
King Field,5,Male,154
King Field,5,Other,39
King Field,6,Female,26
King Field,6,Male,87
King Field,6,Other,43
Lind - Bohanon,0,Female,14
Lind - Bohanon,0,Male,30
Lind - Bohanon,0,Other,53
Lind - Bohanon,1,Female,11
Lind - Bohanon,1,Male,42
Lind - Bohanon,1,Other,53
Lind - Bohanon,2,Female,11
Lind - Bohanon,2,Male,61
Lind - Bohanon,2,Other,54
Lind - Bohanon,3,Female,13
Lind - Bohanon,3,Male,55
Lind - Bohanon,3,Other,56
Lind - Bohanon,4,Female,18
Lind - Bohanon,4,Male,52
Lind - Bohanon,4,Other,44
Lind - Bohanon,5,Female,11
Lind - Bohanon,5,Male,56
Lind - Bohanon,5,Other,51
Lind - Bohanon,6,Female,14
Lind - Bohanon,6,Male,49
Lind - Bohanon,6,Other,54
Linden Hills,0,Female,8
Linden Hills,0,Male,18
Linden Hills,0,Other,18
Linden Hills,1,Female,17
Linden Hills,1,Male,30
Linden Hills,1,Other,18
Linden Hills,2,Female,20
Linden Hills,2,Male,40
Linden Hills,2,Other,22
Linden Hills,3,Female,11
Linden Hills,3,Male,21
Linden Hills,3,Other,18
Linden Hills,4,Female,9
Linden Hills,4,Male,20
Linden Hills,4,Other,20
Linden Hills,5,Female,20
Linden Hills,5,Male,40
Linden Hills,5,Other,28
Linden Hills,6,Female,18
Linden Hills,6,Male,35
Linden Hills,6,Other,12
Logan Park,0,Female,33
Logan Park,0,Male,60
Logan Park,0,Other,11
Logan Park,1,Female,21
Logan Park,1,Male,58
Logan Park,1,Other,10
Logan Park,2,Female,31
Logan Park,2,Male,61
Logan Park,2,Other,9
Logan Park,3,Female,24
Logan Park,3,Male,56
Logan Park,3,Other,12
Logan Park,4,Female,33
Logan Park,4,Male,81
Logan Park,4,Other,12
Logan Park,5,Female,38
Logan Park,5,Male,77
Logan Park,5,Other,14
Logan Park,6,Female,33
Logan Park,6,Male,94
Logan Park,6,Other,14
Longfellow,0,Female,34
Longfellow,0,Male,84
Longfellow,0,Other,56
Longfellow,1,Female,30
Longfellow,1,Male,88
Longfellow,1,Other,49
Longfellow,2,Female,20
Longfellow,2,Male,70
Longfellow,2,Other,65
Longfellow,3,Female,39
Longfellow,3,Male,88
Longfellow,3,Other,57
Longfellow,4,Female,24
Longfellow,4,Male,75
Longfellow,4,Other,48
Longfellow,5,Female,36
Longfellow,5,Male,100
Longfellow,5,Other,65
Longfellow,6,Female,36
Longfellow,6,Male,110
Longfellow,6,Other,63
Loring Park,0,Female,22
Loring Park,0,Male,97
