citationIssued,neighborhood,responseDay,responseMonth,responseMonthName,responseYear,citationCnt
YES,North Loop,13,08,Aug,2017,308
YES,Marshall Terrace,13,08,Aug,2017,54
YES,Sheridan,13,08,Aug,2017,61
YES,St. Anthony West,13,08,Aug,2017,123
YES,Como,13,08,Aug,2017,191
YES,Como,13,08,Aug,2017,191
YES,Marcy Holmes,13,08,Aug,2017,451
YES,Marcy Holmes,13,08,Aug,2017,451
YES,Marcy Holmes,13,08,Aug,2017,451
YES,Midtown Phillips,13,08,Aug,2017,113
YES,Powderhorn Park,13,08,Aug,2017,84
YES,Corcoran,13,08,Aug,2017,47
YES,Cooper,13,08,Aug,2017,51
YES,Marcy Holmes,14,08,Aug,2017,451
YES,Lyndale,14,08,Aug,2017,341
YES,St. Anthony West,14,08,Aug,2017,123
YES,Folwell,14,08,Aug,2017,184
YES,Near - North,14,08,Aug,2017,465
YES,Whittier,14,08,Aug,2017,473
YES,Marcy Holmes,14,08,Aug,2017,451
YES,Near - North,14,08,Aug,2017,465
YES,Whittier,14,08,Aug,2017,473
YES,Willard - Hay,14,08,Aug,2017,174
YES,Whittier,14,08,Aug,2017,473
YES,Willard - Hay,14,08,Aug,2017,174
YES,Steven's Square - Loring Heights,14,08,Aug,2017,131
YES,Steven's Square - Loring Heights,14,08,Aug,2017,131
YES,Logan Park,14,08,Aug,2017,136
YES,Downtown West,14,08,Aug,2017,1047
YES,Cedar Riverside,14,08,Aug,2017,109
YES,Lyndale,15,08,Aug,2017,341
YES,Lyndale,15,08,Aug,2017,341
YES,Bottineau,15,08,Aug,2017,64
YES,King Field,15,08,Aug,2017,69
YES,Lyndale,15,08,Aug,2017,341
YES,Northeast Park,15,08,Aug,2017,73
YES,Hawthorne,15,08,Aug,2017,489
YES,Hawthorne,15,08,Aug,2017,489
YES,Hawthorne,15,08,Aug,2017,489
YES,Victory,15,08,Aug,2017,82
YES,Victory,15,08,Aug,2017,82
YES,Victory,15,08,Aug,2017,82
YES,Marshall Terrace,15,08,Aug,2017,54
YES,Hawthorne,15,08,Aug,2017,489
YES,Hawthorne,15,08,Aug,2017,489
YES,Hawthorne,15,08,Aug,2017,489
YES,Hawthorne,15,08,Aug,2017,489
YES,Near - North,15,08,Aug,2017,465
YES,Near - North,15,08,Aug,2017,465
YES,Hawthorne,15,08,Aug,2017,489
YES,Near - North,15,08,Aug,2017,465
YES,Near - North,15,08,Aug,2017,465
YES,Near - North,15,08,Aug,2017,465
YES,Near - North,15,08,Aug,2017,465
YES,Lowry Hill East,15,08,Aug,2017,190
YES,Near - North,15,08,Aug,2017,465
YES,Marcy Holmes,15,08,Aug,2017,451
YES,Marshall Terrace,15,08,Aug,2017,54
YES,Powderhorn Park,15,08,Aug,2017,84
YES,Elliot Park,16,08,Aug,2017,65
YES,Marcy Holmes,16,08,Aug,2017,451
YES,Jordan,16,08,Aug,2017,332
YES,Corcoran,16,08,Aug,2017,47
YES,Folwell,16,08,Aug,2017,184
YES,Folwell,16,08,Aug,2017,184
YES,Willard - Hay,16,08,Aug,2017,174
YES,Willard - Hay,16,08,Aug,2017,174
YES,Willard - Hay,16,08,Aug,2017,174
YES,Holland,16,08,Aug,2017,235
YES,Hawthorne,16,08,Aug,2017,489
YES,Near - North,16,08,Aug,2017,465
YES,McKinley,16,08,Aug,2017,135
YES,Cedar Riverside,16,08,Aug,2017,109
YES,Seward,16,08,Aug,2017,34
YES,Cooper,16,08,Aug,2017,51
YES,Longfellow,16,08,Aug,2017,122
YES,Howe,16,08,Aug,2017,31
YES,Hale,16,08,Aug,2017,8
YES,Corcoran,16,08,Aug,2017,47
YES,Corcoran,16,08,Aug,2017,47
YES,Downtown West,16,08,Aug,2017,1047
YES,Marcy Holmes,16,08,Aug,2017,451
YES,Nicollet Island - East Bank,16,08,Aug,2017,681
YES,Marcy Holmes,17,08,Aug,2017,451
YES,Waite Park,17,08,Aug,2017,76
YES,Armatage,17,08,Aug,2017,7
YES,Near - North,17,08,Aug,2017,465
YES,Near - North,17,08,Aug,2017,465
YES,Hawthorne,17,08,Aug,2017,489
YES,Whittier,17,08,Aug,2017,473
YES,Jordan,17,08,Aug,2017,332
YES,Webber - Camden,17,08,Aug,2017,76
YES,McKinley,17,08,Aug,2017,135
YES,Folwell,17,08,Aug,2017,184
YES,King Field,17,08,Aug,2017,69
YES,Downtown West,18,08,Aug,2017,1047
YES,St. Anthony West,18,08,Aug,2017,123
YES,CARAG,18,08,Aug,2017,70
YES,Marcy Holmes,18,08,Aug,2017,451
YES,Northeast Park,18,08,Aug,2017,73
YES,Whittier,18,08,Aug,2017,473
YES,Hawthorne,18,08,Aug,2017,489
YES,Folwell,18,08,Aug,2017,184
YES,Willard - Hay,18,08,Aug,2017,174
YES,Folwell,18,08,Aug,2017,184
YES,Folwell,18,08,Aug,2017,184
YES,Whittier,18,08,Aug,2017,473
YES,Holland,18,08,Aug,2017,235
YES,Downtown West,18,08,Aug,2017,1047
YES,Near - North,18,08,Aug,2017,465
YES,East Isles,18,08,Aug,2017,53
YES,Steven's Square - Loring Heights,18,08,Aug,2017,131
YES,Whittier,18,08,Aug,2017,473
YES,Ericsson,18,08,Aug,2017,14
YES,Ericsson,18,08,Aug,2017,14
YES,Hiawatha,18,08,Aug,2017,106
YES,CARAG,18,08,Aug,2017,70
YES,Lowry Hill East,19,08,Aug,2017,190
YES,Marcy Holmes,19,08,Aug,2017,451
YES,Downtown West,19,08,Aug,2017,1047
YES,Marcy Holmes,19,08,Aug,2017,451
YES,St. Anthony West,19,08,Aug,2017,123
YES,Northeast Park,19,08,Aug,2017,73
YES,Lyndale,19,08,Aug,2017,341
YES,Logan Park,19,08,Aug,2017,136
YES,Near - North,19,08,Aug,2017,465
YES,Holland,19,08,Aug,2017,235
YES,St. Anthony West,19,08,Aug,2017,123
YES,Mid - City Industrial,19,08,Aug,2017,143
YES,Logan Park,19,08,Aug,2017,136
YES,Marcy Holmes,19,08,Aug,2017,451
YES,Nicollet Island - East Bank,19,08,Aug,2017,681
YES,Nicollet Island - East Bank,19,08,Aug,2017,681
YES,Nicollet Island - East Bank,19,08,Aug,2017,681
YES,ECCO,19,08,Aug,2017,31
YES,Nicollet Island - East Bank,19,08,Aug,2017,681
YES,Nicollet Island - East Bank,19,08,Aug,2017,681
YES,Downtown West,19,08,Aug,2017,1047
YES,Lowry Hill East,19,08,Aug,2017,190
YES,Webber - Camden,04,08,Aug,2017,76
YES,Powderhorn Park,04,08,Aug,2017,84
YES,King Field,04,08,Aug,2017,69
YES,Downtown West,05,08,Aug,2017,1047
YES,East Harriet,05,08,Aug,2017,5
YES,Downtown West,05,08,Aug,2017,1047
YES,Whittier,05,08,Aug,2017,473
YES,Loring Park,05,08,Aug,2017,142
YES,Midtown Phillips,05,08,Aug,2017,113
YES,Near - North,05,08,Aug,2017,465
YES,Longfellow,05,08,Aug,2017,122
YES,Marshall Terrace,05,08,Aug,2017,54
YES,CARAG,05,08,Aug,2017,70
YES,CARAG,05,08,Aug,2017,70
YES,Elliot Park,05,08,Aug,2017,65
YES,King Field,05,08,Aug,2017,69
YES,Downtown West,05,08,Aug,2017,1047
YES,Lowry Hill East,06,08,Aug,2017,190
YES,Lowry Hill East,06,08,Aug,2017,190
YES,Downtown West,06,08,Aug,2017,1047
YES,Marcy Holmes,06,08,Aug,2017,451
YES,East Phillips,06,08,Aug,2017,123
YES,Columbia Park,06,08,Aug,2017,22
YES,Lowry Hill East,06,08,Aug,2017,190
YES,Elliot Park,07,08,Aug,2017,65
YES,Hawthorne,07,08,Aug,2017,489
YES,Jordan,07,08,Aug,2017,332
YES,McKinley,07,08,Aug,2017,135
YES,Near - North,07,08,Aug,2017,465
YES,King Field,07,08,Aug,2017,69
YES,Ventura Village,08,08,Aug,2017,96
YES,Near - North,08,08,Aug,2017,465
YES,Folwell,08,08,Aug,2017,184
YES,Hawthorne,08,08,Aug,2017,489
YES,Loring Park,08,08,Aug,2017,142
YES,Near - North,08,08,Aug,2017,465
YES,Folwell,08,08,Aug,2017,184
YES,Webber - Camden,08,08,Aug,2017,76
YES,Whittier,08,08,Aug,2017,473
YES,ECCO,08,08,Aug,2017,31
YES,Near - North,08,08,Aug,2017,465
YES,Lind - Bohanon,08,08,Aug,2017,22
YES,Whittier,08,08,Aug,2017,473
YES,St. Anthony West,09,08,Aug,2017,123
YES,Sheridan,09,08,Aug,2017,61
YES,Prospect Park - East River Road,09,08,Aug,2017,48
YES,Cedar Riverside,09,08,Aug,2017,109
YES,Phillips West,09,08,Aug,2017,86
YES,Hawthorne,09,08,Aug,2017,489
YES,Downtown West,09,08,Aug,2017,1047
YES,Lowry Hill East,09,08,Aug,2017,190
YES,McKinley,09,08,Aug,2017,135
YES,McKinley,09,08,Aug,2017,135
YES,Downtown West,09,08,Aug,2017,1047
YES,Downtown West,09,08,Aug,2017,1047
YES,Waite Park,10,08,Aug,2017,76
YES,West Calhoun,10,08,Aug,2017,2
YES,Hawthorne,10,08,Aug,2017,489
YES,Lyndale,10,08,Aug,2017,341
YES,Near - North,10,08,Aug,2017,465
YES,Downtown West,10,08,Aug,2017,1047
YES,Downtown West,10,08,Aug,2017,1047
YES,Jordan,10,08,Aug,2017,332
YES,Steven's Square - Loring Heights,10,08,Aug,2017,131
YES,Folwell,10,08,Aug,2017,184
YES,McKinley,10,08,Aug,2017,135
YES,Near - North,10,08,Aug,2017,465
YES,Mid - City Industrial,10,08,Aug,2017,143
YES,Hawthorne,10,08,Aug,2017,489
YES,Ventura Village,11,08,Aug,2017,96
YES,Lowry Hill East,11,08,Aug,2017,190
YES,Hawthorne,11,08,Aug,2017,489
YES,McKinley,11,08,Aug,2017,135
YES,Folwell,11,08,Aug,2017,184
YES,Jordan,11,08,Aug,2017,332
YES,Lyndale,11,08,Aug,2017,341
YES,Hawthorne,11,08,Aug,2017,489
YES,Steven's Square - Loring Heights,11,08,Aug,2017,131
YES,Near - North,11,08,Aug,2017,465
YES,Whittier,11,08,Aug,2017,473
YES,Near - North,11,08,Aug,2017,465
YES,North Loop,11,08,Aug,2017,308
YES,Marcy Holmes,11,08,Aug,2017,451
YES,Marcy Holmes,11,08,Aug,2017,451
YES,Lind - Bohanon,11,08,Aug,2017,22
YES,Elliot Park,12,08,Aug,2017,65
YES,Downtown West,12,08,Aug,2017,1047
YES,Marcy Holmes,12,08,Aug,2017,451
YES,Downtown West,12,08,Aug,2017,1047
YES,Logan Park,12,08,Aug,2017,136
YES,Whittier,12,08,Aug,2017,473
YES,Bottineau,12,08,Aug,2017,64
YES,Holland,12,08,Aug,2017,235
YES,Powderhorn Park,15,09,Sep,2017,84
YES,East Phillips,15,09,Sep,2017,123
YES,Corcoran,15,09,Sep,2017,47
YES,Downtown West,15,09,Sep,2017,1047
YES,Jordan,15,09,Sep,2017,332
YES,Cooper,15,09,Sep,2017,51
YES,Cooper,15,09,Sep,2017,51
YES,Downtown West,15,09,Sep,2017,1047
YES,Lowry Hill East,16,09,Sep,2017,190
YES,North Loop,16,09,Sep,2017,308
YES,East Phillips,16,09,Sep,2017,123
YES,Downtown West,16,09,Sep,2017,1047
YES,Downtown West,16,09,Sep,2017,1047
YES,Lynnhurst,16,09,Sep,2017,12
YES,Webber - Camden,16,09,Sep,2017,76
YES,Longfellow,16,09,Sep,2017,122
YES,Ventura Village,16,09,Sep,2017,96
YES,Near - North,16,09,Sep,2017,465
YES,Hawthorne,16,09,Sep,2017,489
YES,Cedar Riverside,16,09,Sep,2017,109
YES,Cedar Riverside,16,09,Sep,2017,109
YES,Prospect Park - East River Road,16,09,Sep,2017,48
YES,Como,16,09,Sep,2017,191
YES,Cooper,16,09,Sep,2017,51
YES,Jordan,16,09,Sep,2017,332
YES,Cooper,16,09,Sep,2017,51
YES,Cooper,16,09,Sep,2017,51
YES,Nicollet Island - East Bank,16,09,Sep,2017,681
YES,Phillips West,17,09,Sep,2017,86
YES,Beltrami,17,09,Sep,2017,90
YES,Hawthorne,17,09,Sep,2017,489
YES,North Loop,17,09,Sep,2017,308
YES,North Loop,17,09,Sep,2017,308
YES,Downtown West,17,09,Sep,2017,1047
YES,Central,17,09,Sep,2017,87
YES,Steven's Square - Loring Heights,17,09,Sep,2017,131
YES,Whittier,17,09,Sep,2017,473
YES,Steven's Square - Loring Heights,17,09,Sep,2017,131
YES,King Field,17,09,Sep,2017,69
YES,King Field,17,09,Sep,2017,69
YES,Steven's Square - Loring Heights,17,09,Sep,2017,131
YES,Steven's Square - Loring Heights,17,09,Sep,2017,131
YES,Audubon Park,17,09,Sep,2017,123
YES,Whittier,17,09,Sep,2017,473
YES,Downtown West,17,09,Sep,2017,1047
YES,Lowry Hill East,17,09,Sep,2017,190
YES,Downtown West,17,09,Sep,2017,1047
YES,Cedar Riverside,17,09,Sep,2017,109
YES,Marcy Holmes,18,09,Sep,2017,451
YES,Near - North,18,09,Sep,2017,465
YES,McKinley,18,09,Sep,2017,135
YES,McKinley,18,09,Sep,2017,135
YES,Whittier,18,09,Sep,2017,473
YES,Holland,18,09,Sep,2017,235
YES,Whittier,18,09,Sep,2017,473
YES,Phillips West,18,09,Sep,2017,86
YES,Phillips West,18,09,Sep,2017,86
YES,Near - North,18,09,Sep,2017,465
YES,Whittier,18,09,Sep,2017,473
YES,Whittier,18,09,Sep,2017,473
YES,Downtown West,18,09,Sep,2017,1047
YES,Marcy Holmes,18,09,Sep,2017,451
